# chisq H0 ombh2 omch2 tau As ns
2.577803337721410117e+03 6.844063164993276871e+01 2.234851333592634617e-02 1.173440719985960057e-01 8.459131552927495745e-02 2.212155510087229913e-09 9.731664256102359190e-01
2.576981414431762005e+03 6.844706206816252347e+01 2.234906902911444268e-02 1.173101711623156934e-01 8.485887957896832978e-02 2.214615941000360860e-09 9.731211237503804012e-01
2.576981414431762005e+03 6.844706206816252347e+01 2.234906902911444268e-02 1.173101711623156934e-01 8.485887957896832978e-02 2.214615941000360860e-09 9.731211237503804012e-01
2.576552934466774786e+03 6.842966916153535806e+01 2.235045725118971552e-02 1.173059666047534533e-01 8.431405125821432589e-02 2.214635473048110925e-09 9.729716779420508610e-01
2.576974467619771531e+03 6.842196298317155367e+01 2.235238050845975502e-02 1.173083425372472288e-01 8.424856622163126585e-02 2.215712304162590290e-09 9.731137145544666023e-01
2.576974467619771531e+03 6.842196298317155367e+01 2.235238050845975502e-02 1.173083425372472288e-01 8.424856622163126585e-02 2.215712304162590290e-09 9.731137145544666023e-01
2.578397870694836456e+03 6.841899516713408502e+01 2.235107579564897529e-02 1.173024485446352849e-01 8.461426543355261842e-02 2.219280410291252960e-09 9.730715285488413802e-01
2.580233486828239620e+03 6.841402254754201806e+01 2.235091563475473039e-02 1.172718620384629318e-01 8.422934510851179390e-02 2.218971065269422164e-09 9.730682781960446892e-01
2.580927877168280247e+03 6.841695054442055834e+01 2.234864404664935536e-02 1.172746613611068550e-01 8.417603455111359601e-02 2.219328401439504715e-09 9.730260296752475391e-01
2.582476528624853017e+03 6.842845404921949637e+01 2.234671287775331569e-02 1.172582761898197656e-01 8.425114704717315273e-02 2.220671908292661138e-09 9.730096161674359756e-01
2.583707237504834666e+03 6.843455222091661483e+01 2.234892383738566399e-02 1.172610918053554607e-01 8.465821155835570599e-02 2.223248771792055623e-09 9.730136005066235549e-01
2.582013563897070981e+03 6.843650845716044273e+01 2.235051782796078357e-02 1.172898293415169241e-01 8.508735335351740037e-02 2.224279580935388540e-09 9.730840974422126921e-01
2.581517130074111719e+03 6.844857537178843643e+01 2.234949086267715504e-02 1.172401517286064676e-01 8.524512321887199595e-02 2.224401010536295149e-09 9.731048730253665235e-01
2.581424219270389131e+03 6.843168376674148590e+01 2.234984131325040702e-02 1.172691095200144307e-01 8.518040305640893484e-02 2.224108873201907601e-09 9.731170852908581637e-01
2.583139584179533358e+03 6.843206605739965198e+01 2.235294663358904782e-02 1.172449211434672539e-01 8.510433942587262990e-02 2.224612554577427899e-09 9.731739762193923893e-01
2.583139584179533358e+03 6.843206605739965198e+01 2.235294663358904782e-02 1.172449211434672539e-01 8.510433942587262990e-02 2.224612554577427899e-09 9.731739762193923893e-01
2.583139584179533358e+03 6.843206605739965198e+01 2.235294663358904782e-02 1.172449211434672539e-01 8.510433942587262990e-02 2.224612554577427899e-09 9.731739762193923893e-01
2.583139584179533358e+03 6.843206605739965198e+01 2.235294663358904782e-02 1.172449211434672539e-01 8.510433942587262990e-02 2.224612554577427899e-09 9.731739762193923893e-01
2.581557040910327487e+03 6.843854680870325069e+01 2.235255168869713233e-02 1.171991432972812747e-01 8.548564671735797704e-02 2.225122649573326469e-09 9.731097608065811810e-01
2.581557040910327487e+03 6.843854680870325069e+01 2.235255168869713233e-02 1.171991432972812747e-01 8.548564671735797704e-02 2.225122649573326469e-09 9.731097608065811810e-01
